1 (1),Moscow,Russia,210 (8),-12%,5,1113
2 (2),Istanbul,Turkey,157 (22),6%,6,10
3 (3),London,United Kingdom,227 (5),1%,8,7
4 (4),Saint Petersburg,Russia,200 (9),-5%,6,11
5 (7),Rome,Italy,254 (1),16%,8,8
6 (5),Ankara,Turkey,128 (52),-5%,5,12
7 (6),Izmir,Turkey,154 (26),1%,6,10
8 (8),Berlin,Germany,154 (27),-5%,5,11
9 (9),Paris,France,237 (4),7%,7,8
10 (10),Madrid,Spain,129 (51),3%,7,8
11 (11),Milan,Italy,226 (6),6%,8,8
12 (12),Warsaw,Poland,173 (15),7%,5,13
13 (15),Budapest,Hungary,162 (20),11%,5,11
14 (13),Rostov-on-Don,Russia,237 (3),1%,7,8
15 (14),Hamburg,Germany,139 (43),-3%,5,12
16 (16),Barcelona,Spain,147 (34),5%,7,9
17 (18),Nizhny Novgorod,Russia,180 (14),2%,5,12
18 (19),MÃ¼nchen,Germany,140 (42),-3%,5,11
19 (17),Vienna,Austria,109 (61),-11%,5,11
20 (21),Naples,Italy,186 (13),-3%,9,7
21 (20),Prague,Czech Republic,143 (35),-4%,5,11
22 (22),Turin,Italy,167 (16),-2%,8,8
23 (23),Birmingham,United Kingdom,134 (47),-4%,5,12
24 (25),Dublin,Ireland,246 (2),-4%,10,6
25 (30),Valencia,Spain,136 (45),14%,6,10
